FeatureResult,Distraction,Attention,BodySpeed,EyesOffScreen,PressesCount,EYEScan,EYEDwell,SingleFastPresses,EEGAB,Targets
0.242112341,0.449875762,0.595517397,0.048083014,0.430026437,0.084174254,0.751655821,0.299635989,0,0.727895135,mistake
0.850663299,0.250519696,0.762232538,0.313115653,0,0,0.312945125,0.25959621,1,0.731660774,correct
0.426574968,0.23051773,0.487122064,0.214599153,0,0.073516754,0.575156085,0.316039014,0,0.591198783,mistake
-0.592469269,0.800086784,0.443689449,1,0,0,0.253942397,0.219409837,0.624464047,0.23993506,mistake
0.069538982,0.270660357,0.312491232,0.338288748,0,0,0.417641389,0.223565688,0,0.379521989,correct
0.945112748,0.155064903,0.84732297,0.193810104,0,0,0.764645458,0.369405654,1,0.443992524,correct
-0.689565084,0.800086784,0.38528188,1,0,0,0.413038885,0.359609016,0,0.485846333,correct
-0.335737084,0.800086784,0.598125589,1,0,0,0.326935056,0.396368165,0.664765602,0.446938836,correct
0.945112748,0.228702991,0.906282721,0.28584773,0,0,0.705516087,0.625975507,0.826843463,0.654298194,correct
0.834849522,0.175484327,0.677684459,0.219331615,0,0,0.538806378,0.573348147,0.448479865,0.572874106,correct
-1,1,0.398454309,0.470453114,0.954448921,0,0.301669404,0.491764043,0,0.508087536,correct
0.020977069,0.652647298,0.665265964,0.397639375,0.418081258,0,0.570644694,0.296033217,0.926965937,0.213844842,mistake
0.063563945,0.339793328,0.378029945,0.212123864,0.172010575,0.04056115,0.526908627,0.367774918,0,0.260119754,mistake
-0.617285852,1,0.628674356,0.337902051,0,1,0.276276966,0.35919743,0,0.418043026,mistake
0.453356998,0.162430238,0.435145187,0.203015774,0,0,0.425998329,0.519471887,0,0.475898754,correct
0.208743564,0.43777572,0.563344511,0.547160294,0,0,0.431361069,1,0,0.408761336,mistake
-0.469535403,1,0.717553002,0.547160294,1,0,1,1,0,0.343832821,correct
-0.266077797,0.545619761,0.385561809,0.547160294,0.107506609,0.02728382,0.260245627,0.461202075,0,0.457238761,correct
0.711225999,0.43777572,0.865610654,0.547160294,0,0,0.217368013,1,1,0.360529478,correct
-0.210462037,0.503059767,0.376457236,0.547160294,0,0.081596208,0.271762441,0.295632415,0,0.420863123,mistake
